Block	Trial	Drawn Card Count	Drawn Card Shape	Drawn Card Color	Sorted Count	Sorted Shape	Sorted Color	Correct Sort	Correct In a Row	Accuracy	RT
Practice	1	4	Red	Plus	4	Blue	Circle	Count	1	Correct	3867
Practice	2	3	Red	Circle	4	Blue	Circle	Count	0	Incorrect	4125
Practice	3	1	Blue	Plus	4	Blue	Circle	Count	0	Incorrect	2521
Practice	4	3	Green	Circle	4	Blue	Circle	Count	0	Incorrect	1908
Practice	5	1	Yellow	Circle	1	Red	Triangle	Count	1	Correct	1175
Main	1	4	Green	Plus	4	Blue	Circle	Count	1	Correct	2950
Main	2	3	Green	Circle	3	Yellow	Plus	Count	2	Correct	1358
Main	3	1	Yellow	Circle	1	Red	Triangle	Count	3	Correct	1658
Main	4	1	Green	Circle	1	Red	Triangle	Count	4	Correct	2441
Main	5	4	Yellow	Triangle	4	Blue	Circle	Count	5	Correct	992
Main	6	2	Red	Circle	2	Green	Diamond	Shape	0	Incorrect	857
Main	7	2	Blue	Triangle	4	Blue	Circle	Shape	0	Incorrect	2024
Main	8	3	Red	Diamond	2	Green	Diamond	Shape	1	Correct	2375
Main	9	2	Blue	Plus	3	Yellow	Plus	Shape	2	Correct	1924
Main	10	2	Yellow	Triangle	2	Green	Diamond	Shape	0	Incorrect	1141
Main	11	4	Red	Plus	3	Yellow	Plus	Shape	1	Correct	1041
Main	12	2	Red	Plus	3	Yellow	Plus	Shape	2	Correct	1574
Main	13	3	Blue	Diamond	2	Green	Diamond	Shape	3	Correct	1208
Main	14	3	Blue	Triangle	1	Red	Triangle	Shape	4	Correct	1525
Main	15	1	Blue	Plus	3	Yellow	Plus	Shape	5	Correct	2508
Main	16	1	Blue	Diamond	2	Green	Diamond	Count	0	Incorrect	1941
Main	17	4	Green	Triangle	2	Green	Diamond	Count	0	Incorrect	1541
Main	18	1	Green	Plus	1	Red	Triangle	Count	1	Correct	1208
Main	19	4	Yellow	Diamond	4	Blue	Circle	Count	2	Correct	2058
Main	20	4	Red	Diamond	4	Blue	Circle	Count	3	Correct	1308
Main	21	2	Yellow	Circle	2	Green	Diamond	Count	4	Correct	1524
Main	22	1	Yellow	Diamond	1	Red	Triangle	Count	5	Correct	1874
Main	23	3	Green	Triangle	3	Yellow	Plus	Color	0	Incorrect	1358
Main	24	3	Red	Circle	1	Red	Triangle	Color	1	Correct	1374
Main	25	3	Green	Circle	2	Green	Diamond	Color	2	Correct	1541
Main	26	1	Green	Circle	2	Green	Diamond	Color	3	Correct	2291
Main	27	2	Red	Plus	1	Red	Triangle	Color	4	Correct	1091
Main	28	1	Yellow	Circle	3	Yellow	Plus	Color	5	Correct	2241
Main	29	2	Blue	Triangle	4	Blue	Circle	Count	0	Incorrect	2257
Main	30	3	Green	Triangle	3	Yellow	Plus	Count	1	Correct	1357
Main	31	4	Yellow	Triangle	4	Blue	Circle	Count	2	Correct	908
Main	32	4	Red	Plus	4	Blue	Circle	Count	3	Correct	1408
Main	33	3	Red	Circle	3	Yellow	Plus	Count	4	Correct	1475
Main	34	1	Green	Plus	1	Red	Triangle	Count	5	Correct	1041
Main	35	4	Green	Triangle	4	Blue	Circle	Color	0	Incorrect	1374
Main	36	2	Blue	Plus	4	Blue	Circle	Color	1	Correct	1441
Main	37	1	Blue	Diamond	4	Blue	Circle	Color	2	Correct	1307
Main	38	3	Blue	Triangle	4	Blue	Circle	Color	3	Correct	1007
Main	39	4	Green	Plus	2	Green	Diamond	Color	4	Correct	1508
Main	40	1	Yellow	Diamond	3	Yellow	Plus	Color	5	Correct	1058
Main	41	2	Red	Circle	1	Red	Triangle	Count	0	Incorrect	825
Main	42	4	Red	Diamond	4	Blue	Circle	Count	1	Correct	1707
Main	43	1	Blue	Plus	1	Red	Triangle	Count	2	Correct	1124
Main	44	2	Yellow	Circle	2	Green	Diamond	Count	3	Correct	1208
Main	45	3	Red	Diamond	3	Yellow	Plus	Count	4	Correct	1341
Main	46	3	Blue	Diamond	3	Yellow	Plus	Count	5	Correct	791
Main	47	4	Yellow	Diamond	4	Blue	Circle	Shape	0	Incorrect	1091
Main	48	2	Yellow	Triangle	3	Yellow	Plus	Shape	0	Incorrect	924
Main	49	2	Red	Plus	3	Yellow	Plus	Shape	1	Correct	1358
Main	50	3	Blue	Triangle	1	Red	Triangle	Shape	2	Correct	1641
Main	51	1	Green	Circle	4	Blue	Circle	Shape	3	Correct	2508
Main	52	1	Green	Plus	3	Yellow	Plus	Shape	4	Correct	1525
Main	53	1	Blue	Plus	3	Yellow	Plus	Shape	5	Correct	1758
Main	54	4	Yellow	Diamond	2	Green	Diamond	Color	0	Incorrect	2074
Main	55	4	Green	Plus	2	Green	Diamond	Color	1	Correct	1291
Main	56	2	Blue	Plus	4	Blue	Circle	Color	2	Correct	1241
Main	57	3	Green	Circle	2	Green	Diamond	Color	3	Correct	874
Main	58	4	Green	Triangle	2	Green	Diamond	Color	4	Correct	2558
Main	59	2	Yellow	Triangle	3	Yellow	Plus	Color	5	Correct	2341
Main	60	4	Yellow	Triangle	3	Yellow	Plus	Shape	0	Incorrect	2907
Main	61	2	Yellow	Circle	4	Blue	Circle	Shape	1	Correct	1341
Main	62	2	Red	Circle	4	Blue	Circle	Shape	2	Correct	1124
Main	63	1	Yellow	Diamond	2	Green	Diamond	Shape	3	Correct	1608
Main	64	3	Green	Triangle	1	Red	Triangle	Shape	4	Correct	1458

