Trial Number	Deck Selection	RT	Reward	Penalty	Current Total
1	4	3002	50	0	50
2	4	1944	50	0	100
3	4	2211	50	0	150
4	3	1394	100	0	250
5	2	1193	50	0	300
6	1	793	100	0	400
7	3	844	100	0	500
8	1	711	100	0	600
9	3	944	100	0	700
10	3	526	100	0	800
11	3	510	100	0	900
12	3	510	100	0	1000
13	3	510	100	0	1100
14	3	410	100	0	1200
15	3	677	100	-1250	50
16	3	944	100	0	150
17	1	1410	100	-150	100
18	3	910	100	0	200
19	4	977	50	0	250
20	3	860	100	0	350
21	3	427	100	0	450
22	3	426	100	-1250	-700
23	1	710	100	0	-600
24	1	560	100	-300	-800
25	2	510	50	0	-750
26	4	627	50	0	-700
27	2	527	50	-50	-700
28	1	977	100	0	-600
29	3	543	100	0	-500
30	4	627	50	0	-450
31	1	994	100	-200	-550
32	3	543	100	0	-450
33	3	543	100	0	-350
34	2	460	50	0	-300
35	3	927	100	0	-200
36	4	893	50	0	-150
37	3	793	100	0	-50
38	3	477	100	0	50
39	1	693	100	0	150
40	1	1277	100	-250	0
41	3	810	100	-1250	-1150
42	2	577	50	-50	-1150
43	4	710	50	0	-1100
44	2	593	50	0	-1050
45	3	494	100	0	-950
46	4	644	50	0	-900
47	3	493	100	0	-800
48	2	443	50	-50	-800
49	3	777	100	0	-700
50	3	543	100	0	-600

