Trial Number	Deck Selection	RT	Reward	Penalty	Current Total
1	3	1386	100	0	100
2	3	693	100	0	200
3	3	443	100	0	300
4	1	694	100	0	400
5	1	1010	100	0	500
6	2	761	50	0	550
7	4	661	50	0	600
8	3	544	100	0	700
9	1	560	100	-150	650
10	1	844	100	0	750
11	3	644	100	0	850
12	2	643	50	0	900
13	3	710	100	0	1000
14	4	677	50	0	1050
15	3	1394	100	0	1150
16	2	593	50	-50	1150
17	2	660	50	0	1200
18	1	527	100	-300	1000
19	1	894	100	0	1100
20	3	493	100	0	1200
21	2	844	50	-50	1200
22	2	977	50	0	1250
23	4	543	50	0	1300
24	3	677	100	-1250	150
25	3	676	100	0	250
26	3	444	100	0	350
27	2	427	50	-50	350
28	2	610	50	0	400
29	1	744	100	-200	300
30	1	577	100	0	400
31	4	644	50	0	450
32	4	593	50	0	500
33	3	1193	100	0	600
34	3	444	100	0	700
35	2	577	50	-50	700
36	2	760	50	-50	700
37	2	627	50	0	750
38	1	894	100	-250	600
39	1	893	100	-350	350
40	1	610	100	0	450
41	4	543	50	0	500
42	4	960	50	0	550
43	4	1043	50	0	600
44	3	910	100	-1250	-550
45	3	510	100	0	-450
46	3	460	100	0	-350
47	4	576	50	0	-300
48	1	827	100	-350	-550
49	1	810	100	0	-450
50	1	577	100	-250	-600

