Block Name	Block Number	Trial Number	Track Width	Track Height	Circuit Time	Axis Setup	On-Target Percent	Average Distance
Practice	0	1	150	100	12000	Invert Both	0.138888889	33.8424708
Practice	0	2	150	100	12000	Invert Both	3.75	11.9732514
Main	1	1	150	100	12000	Standard	68.0555556	3.70622055
Main	1	2	150	100	12000	Standard	86.9444444	1.95194007
Main	1	3	150	100	12000	Standard	86.3888889	2.28003114
Main	1	4	150	100	12000	Standard	83.4722222	2.49452943
Main	1	5	150	100	12000	Standard	88.3333333	1.96450802
Main	1	6	150	100	12000	Standard	94.0277778	1.69372959
Main	1	7	150	100	12000	Standard	76.5277778	2.82538992
Main	1	8	150	100	12000	Standard	95.5555556	2.01680467
Main	1	9	150	100	12000	Standard	90.8333333	1.97387972
Main	1	10	150	100	12000	Standard	82.3611111	2.14456827
Main	1	11	150	100	12000	Standard	86.9444444	2.24177513
Main	1	12	150	100	12000	Standard	2.08333333	65.5374147
Main	1	13	150	100	12000	Standard	12.3611111	81.1385703
Main	1	14	150	100	12000	Standard	2.36111111	85.7085935

