Block Name	Block Number	Trial Number	Track Width	Track Height	Circuit Time	Axis Setup	On-Target Percent	Average Distance
Practice	0	1	150	100	12000	Standard	91.8055556	1.95365673
Practice	0	2	150	100	12000	Standard	85.6944444	2.29972173
Main	1	1	150	100	12000	Standard	88.8888889	2.05338624
Main	1	2	150	100	12000	Invert Both	15.5555556	13.3221308
Main	1	3	150	100	12000	Standard	63.3333333	3.65380804
Main	1	4	150	100	12000	Invert Both	15.4166667	9.64229472
Main	1	5	150	100	12000	Standard	63.6111111	3.01175564
Main	1	6	150	100	12000	Standard	87.5	2.13337401
Main	1	7	150	100	12000	Standard	86.8055556	2.07194564
Main	1	8	150	100	12000	Invert Both	9.02777778	12.7356731

